index,S. No.,text,task_1
0,1,লাগিলে ইযাৰ পৰাই কলি লাগাম,NOT
1,2,আমি গেদা মই গেদা হা হা 🤣🤣🤣 ।,HOF
2,3,"মানুহে যেতিয়া নিজৰ জীৱন টো নিজৰ কাৰণে, সমাজৰ কাৰণে, দেশৰ কাৰণে, পৃথিৱীৰ কাৰণে কিমান মূল্যবান বুজি নাপায় তেতিয়া এনেকুৱা হয়",NOT
3,4,কতি খন কোন দিনা দেখা পাও তাকে বাত চায় আছো মই,HOF
4,5,"কাপোৰ খন বাৰু চাইকেল লৈ অহা মানুহজনৰ মুখত দলিয়াব লাগেনে, বেছেৰাটো গুচি গল সেইকাৰণে বেয়া পায়।🤣🤣🤣",NOT
6,7,হাহিত ৰখাব নোৱাৰিলো,NOT
7,8,"অখম নহয় , অসমৰ, দেবলিনা",NOT
8,9,মাউন্ট এভাৰেষ্ট শৃঙ্গ বগোৱা নাই ৷,NOT
9,10,এতিয়া নাৰীৰ সন্মান লৈ পুৰুষে চিন্তা কৰাৰ প্ৰয়োজন নাই।,NOT
10,11,"বয়স টো এনেকুৱা নহয় যে কোনোবাই ইচ্ছা কৰি ধৰি ৰাখিব পাৰি , ইয়াৰ পৰা কোনো হাত সাৰিব নোৱাৰে, ",NOT
11,12,"মই মোবাইলটো দেখাই দিয়া মাত্ৰকে দুটাকৈ জমজ সন্তান delivery without scissoring..আমাৰ এওঁলোক অকল ৰাজনীতিকে নহয়, এওঁলোক মহা-ওঁষধি।যেনে-সৰু লৰা-ছোৱালীয়ে ভাত নাখালে, মহিলাৰ মাহেকীয়া নহলে এওঁল…",HOF
12,13,"কিছু বছৰ আগতেও বড়ো সকলক এই ব্যবহাৰ কৰাৰ ফলত , তেওলোকে ভাষা ত্যাগ কৰাৰ লগতে লিপিও গ্ৰহণ নকৰিলে ।",NOT
13,14,অবাইছ,HOF
14,15,এখন ঘৰত স্বামী স্ত্ৰী মাজত এনেকুৱা বুজা বুজি সকলোৱে থাকে আৰু থাকিব লাগে ভাল কথা।,NOT
15,16,হাহি ৰখাব নোৱাৰিলো,HOF
17,18,"ছা আমাৰ অসমৰ ল,ৰা বাহিৰত বহুতো আছে আমাক অসমত কিবা এটাৰ কাম দিয়ক",NOT
18,19,এইবোৰ হল অসমীয়াৰ নমুনা,HOF
19,20,বুকুত কিমান জুই লৈ আছে ঐ,HOF
21,22,এইজনীৰ এনেয়ো বেটেৰী ডাউন,NOT
22,23,"মানুহে ভুল কৰেই, সেই ভুলক শুদ্ধৰনি কৰিব সুজোক দিয়ক। ",NOT
23,24,প্ৰেমৰ জুই নে চিতাৰ জুই ধৰিব নোৱাৰি নীৰৱে এৰিলে চুচু,HOF
25,26,ইয়াৰ  উদ্দেশ্য যে সৎ নহয় সেইটো লুকাই নাথাকে ।,HOF
26,27,কুকুৰৰ নেজ হাজাৰ তেলেৰে মালিছ কৰিলেও ছিধা নহয়,NOT
27,28,"অসমতে যে অসমীয়াক অহমিয়া বোলে অসমক অহম বোলে ,ভাল ক বাল বোলে, দেশ ক দেহ বোলে,ভাৰতক বাৰত বোলে এই এনে ধৰনৰ কিমান যে শব্দৰ বিকৃতকৰন হৈ আছে এই বিলাকেহে অসমীয়া ভাষাৰ মাই বাপ নোহোৱা কৰি আছে আৰু কৰিব",NOT
28,29,মেকুৰীৰ দিঙিত টিলিঙা,HOF
29,30,আৰু অলপ গিলি আহক,HOF
31,32,ফিটিং কৰি থ'ব নেলাগে কেমেৰা লৈ থিয় হৈ থাকিব,NOT
32,33,বাতৰি কৈ থকাজনৰ মাতটো শুনিলে কান বিষাই যায়,HOF
33,34,তোমালোকে কলেই যে বৰষাই ইন্টাৰভিউ বা চেলফি উঠিব ই লাগিব।,NOT
34,35,এই এ আমাৰ অসমৰ সাংবাদিক নিবনুৱা,HOF
35,36,এই কথাখিনি ভালকৈ save কৰি লৈছো APSC পৰীক্ষাত আহিব পাৰে,HOF
36,37," মোৰ পিছফালে মানুহজন আছে নেকি,মোৰ কোনোবা সম্বন্ধীয়ই দেখা পাইছে নেকি বুলিহে ",NOT
37,38,প্ৰথমতে আপোনাৰ কথাত একমত,HOF
38,39,"ছুদিৰভাইহত, অসমীয়া ছোৱালী বোৱাৰী কিমান মাৰিছে লগতে ধৰ্ম শেষ কৰি আছে, কেলা কিন্তু তহতৰ মাত নাই",HOF
39,40,পাগল টোক ভাল পোৱা মানুহ আছে জানো,HOF
